strategy,symbol,train_rank,train_sharpe,train_return_pct,overfit_pct,p_fast_ma,p_slow_ma,p_rsi_period,p_vol_threshold,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate_pct,profit_factor,buy_hold_return_pct,vs_benchmark_pct,p_bb_period,p_bb_std,p_rsi_oversold,p_rsi_overbought,p_lookback,p_atr_mult,p_rsi_buy,p_rsi_sell
mean_reversion,US.QQQ,2,0.177,65.06,1.4,,,14.0,,23.02,6.32,10.96,0.1746,0.2921,0.5768,16,68.75,4.4698,132.17,-109.15,15.0,2.0,25.0,75.0,,,,
mean_reversion,US.QQQ,10,0.0279,39.06,-467.4,,,14.0,,22.57,6.21,10.95,0.1583,0.2524,0.5668,26,69.23,3.0081,132.17,-109.6,15.0,1.5,30.0,75.0,,,,
mean_reversion,US.QQQ,9,0.0279,39.06,-467.4,,,14.0,,22.57,6.21,10.95,0.1583,0.2524,0.5668,26,69.23,3.0081,132.17,-109.6,15.0,1.5,30.0,70.0,,,,
momentum,US.TNA,3,0.1635,41.56,6.3,5.0,20.0,14.0,1.3,17.08,4.77,43.04,0.1532,0.2338,0.1109,19,42.11,1.2829,62.79,-45.72,,,,,,,,
mean_reversion,US.QQQ,5,0.0507,43.45,-201.4,,,10.0,,22.27,6.13,10.99,0.1528,0.2462,0.5577,23,78.26,3.6836,132.17,-109.9,15.0,2.0,30.0,70.0,,,,
mean_reversion,US.QQQ,6,0.0507,43.45,-201.4,,,10.0,,22.27,6.13,10.99,0.1528,0.2462,0.5577,23,78.26,3.6836,132.17,-109.9,15.0,2.0,30.0,75.0,,,,
mean_reversion,US.SPY,5,-0.063,30.19,288.4,,,14.0,,20.61,5.7,9.62,0.1187,0.193,0.5924,15,86.67,6.7183,86.09,-65.48,20.0,2.0,25.0,70.0,,,,
mean_reversion,US.SPY,6,-0.063,30.19,288.4,,,14.0,,20.61,5.7,9.62,0.1187,0.193,0.5924,15,86.67,6.7183,86.09,-65.48,20.0,2.0,25.0,75.0,,,,
momentum,US.TNA,6,0.1169,27.84,-1.1,5.0,20.0,10.0,1.0,6.54,1.89,38.87,0.1182,0.175,0.0486,26,34.62,1.1065,62.79,-56.25,,,,,,,,
momentum,US.SPY,2,-0.1363,31.21,186.7,5.0,20.0,14.0,1.0,20.16,5.58,9.14,0.1182,0.1652,0.6106,22,54.55,2.3232,86.09,-65.93,,,,,,,,
breakout,US.SOXL,5,-0.1221,-33.19,195.9,,,,1.5,19.3,5.36,18.48,0.1171,0.1876,0.2899,1,100.0,inf,652.72,-633.42,,,,,20.0,2.0,,
mean_reversion,US.TNA,6,0.1655,27.08,36.4,,,14.0,,9.64,2.76,42.35,0.1052,0.153,0.0652,21,57.14,1.1687,62.79,-53.15,15.0,2.0,30.0,75.0,,,,
mean_reversion,US.TNA,5,0.1655,27.08,36.4,,,14.0,,9.64,2.76,42.35,0.1052,0.153,0.0652,21,57.14,1.1687,62.79,-53.15,15.0,2.0,30.0,70.0,,,,
momentum,US.SPY,5,-0.2234,24.55,141.6,5.0,20.0,14.0,1.3,19.49,5.41,9.3,0.093,0.1293,0.5816,19,47.37,2.2533,86.09,-66.6,,,,,,,,
momentum,US.QQQ,3,0.0097,41.83,-857.7,5.0,15.0,10.0,1.0,19.63,5.44,11.44,0.0929,0.1296,0.4757,27,51.85,1.9107,132.17,-112.54,,,,,,,,
momentum,US.TNA,4,0.161,38.78,50.9,5.0,20.0,14.0,1.0,5.81,1.68,39.95,0.0791,0.1182,0.0422,25,36.0,1.1037,62.79,-56.98,,,,,,,,
momentum,US.QQQ,4,-0.0665,34.32,188.0,5.0,15.0,10.0,1.3,18.38,5.12,9.9,0.0585,0.0829,0.5169,22,50.0,2.1028,132.17,-113.79,,,,,,,,
rsi_reversal,US.QQQ,4,-0.3841,-13.14,110.1,,,5.0,,16.7,4.67,17.54,0.0388,0.0584,0.2665,68,52.94,1.3556,132.17,-115.47,,,,,,,30.0,75.0
rsi_reversal,US.QQQ,3,-0.3841,-13.14,110.1,,,5.0,,16.7,4.67,17.54,0.0388,0.0584,0.2665,68,52.94,1.3556,132.17,-115.47,,,,,,,30.0,70.0
mean_reversion,US.SPY,4,0.0232,41.99,-6.9,,,14.0,,17.14,4.79,9.72,0.0248,0.0397,0.4927,20,65.0,3.2935,86.09,-68.95,15.0,2.0,30.0,75.0,,,,
mean_reversion,US.SPY,3,0.0232,41.99,-6.9,,,14.0,,17.14,4.79,9.72,0.0248,0.0397,0.4927,20,65.0,3.2935,86.09,-68.95,15.0,2.0,30.0,70.0,,,,
mean_reversion,US.QQQ,3,0.102,52.11,89.8,,,14.0,,16.41,4.6,10.38,0.0104,0.0165,0.4429,16,62.5,3.1155,132.17,-115.76,15.0,2.0,30.0,70.0,,,,
mean_reversion,US.QQQ,4,0.102,52.11,89.8,,,14.0,,16.41,4.6,10.38,0.0104,0.0165,0.4429,16,62.5,3.1155,132.17,-115.76,15.0,2.0,30.0,75.0,,,,
mean_reversion,US.SPY,7,-0.0824,27.73,98.3,,,14.0,,16.51,4.62,8.64,-0.0014,-0.0022,0.5352,15,86.67,5.6285,86.09,-69.58,20.0,2.0,30.0,70.0,,,,
mean_reversion,US.SPY,8,-0.0824,27.73,98.3,,,14.0,,16.51,4.62,8.64,-0.0014,-0.0022,0.5352,15,86.67,5.6285,86.09,-69.58,20.0,2.0,30.0,75.0,,,,
mean_reversion,US.SPY,2,0.027,42.64,153.0,,,14.0,,16.09,4.51,8.64,-0.0143,-0.0226,0.5222,19,63.16,3.237,86.09,-70.0,15.0,2.0,25.0,75.0,,,,
mean_reversion,US.SPY,1,0.027,42.64,153.0,,,14.0,,16.09,4.51,8.64,-0.0143,-0.0226,0.5222,19,63.16,3.237,86.09,-70.0,15.0,2.0,25.0,70.0,,,,
rsi_reversal,US.QQQ,8,-0.433,-14.51,93.9,,,7.0,,13.97,3.94,14.07,-0.0262,-0.0401,0.2803,30,70.0,1.5191,132.17,-118.21,,,,,,,25.0,75.0
rsi_reversal,US.QQQ,7,-0.433,-14.51,93.9,,,7.0,,13.97,3.94,14.07,-0.0262,-0.0401,0.2803,30,70.0,1.5191,132.17,-118.21,,,,,,,25.0,70.0
breakout,US.TNA,5,-0.1064,12.15,42.7,,,,1.5,3.46,1.01,30.94,-0.061,-0.0876,0.0327,6,50.0,1.1689,62.79,-59.33,,,,,10.0,1.5,,
breakout,US.TNA,6,-0.1064,12.15,42.7,,,,1.5,3.46,1.01,30.94,-0.061,-0.0876,0.0327,6,50.0,1.1689,62.79,-59.33,,,,,10.0,2.0,,
breakout,US.TNA,4,0.0916,38.49,190.1,,,,1.2,-9.87,-3.03,40.26,-0.0825,-0.1203,-0.0752,12,33.33,0.865,62.79,-72.67,,,,,10.0,2.0,,
rsi_reversal,US.QQQ,5,-0.4125,-16.09,79.1,,,7.0,,11.31,3.22,16.56,-0.0862,-0.1261,0.1945,38,68.42,1.3513,132.17,-120.86,,,,,,,30.0,70.0
rsi_reversal,US.QQQ,6,-0.4125,-16.09,79.1,,,7.0,,11.31,3.22,16.56,-0.0862,-0.1261,0.1945,38,68.42,1.3513,132.17,-120.86,,,,,,,30.0,75.0
rsi_reversal,US.SPY,5,-0.5122,-16.44,78.3,,,7.0,,12.19,3.46,11.72,-0.111,-0.1726,0.2951,38,65.79,1.8635,86.09,-73.9,,,,,,,30.0,70.0
rsi_reversal,US.SPY,6,-0.5122,-16.44,78.3,,,7.0,,12.19,3.46,11.72,-0.111,-0.1726,0.2951,38,65.79,1.8635,86.09,-73.9,,,,,,,30.0,75.0
