return_pct,sharpe,max_dd,trades,trades_per_day,win_rate,avg_win,avg_loss,profit_factor,n_days,symbol,strategy,train_sharpe,val_sharpe,val_return,val_trades,val_wr,overfit,verdict,p_move_threshold_pct,p_entry_bar_idx,p_stop_pct,p_confirm_bars,p_rsi_floor,p_stop_atr_mult,p_min_bars_before_entry
32.49,0.2837,82.3,2093,0.83,54.1,3.3,3.639,1.068,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,40.0,1.0,6.0
30.8,0.2817,82.49,2093,0.83,54.2,3.293,3.647,1.068,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,40.0,1.0,6.0
97.54,0.2803,62.57,2321,0.92,54.3,2.27,2.516,1.071,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,40.0,1.0,6.0
97.27,0.28,62.98,2320,0.92,54.4,2.263,2.524,1.071,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,40.0,1.0,6.0
28.67,0.2793,83.18,2091,0.83,55.4,3.266,3.801,1.067,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,45.0,2.0,6.0
22.05,0.271,83.98,2091,0.83,55.4,3.264,3.804,1.065,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,45.0,2.0,6.0
21.68,0.2703,84.09,2091,0.83,55.2,3.269,3.788,1.065,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,45.0,1.5,6.0
20.5,0.269,84.16,2091,0.83,55.5,3.257,3.812,1.065,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,45.0,2.0,6.0
15.42,0.262,84.85,2091,0.83,55.2,3.266,3.791,1.063,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,45.0,1.5,6.0
13.96,0.26,85.02,2091,0.83,55.3,3.259,3.799,1.063,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,45.0,1.5,6.0
10.2,0.2521,86.55,2088,0.83,55.6,3.222,3.802,1.062,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,50.0,2.0,6.0
4.97,0.2444,87.15,2088,0.83,55.6,3.22,3.805,1.06,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,50.0,2.0,6.0
4.21,0.2431,87.28,2088,0.83,55.5,3.225,3.788,1.06,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,50.0,1.5,6.0
0.29,0.2426,86.58,2093,0.83,55.2,3.295,3.83,1.059,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,40.0,2.0,6.0
3.64,0.2424,87.29,2088,0.83,55.7,3.213,3.813,1.06,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,50.0,2.0,6.0
-0.73,0.2354,87.85,2088,0.83,55.5,3.223,3.792,1.058,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,50.0,1.5,6.0
-4.87,0.2343,87.22,2093,0.83,55.2,3.292,3.833,1.058,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,40.0,2.0,6.0
-5.16,0.2336,87.31,2093,0.83,55.0,3.297,3.817,1.058,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,40.0,1.5,6.0
-1.99,0.2333,87.98,2088,0.83,55.6,3.216,3.799,1.058,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,50.0,1.5,6.0
-6.08,0.2323,87.36,2093,0.83,55.3,3.285,3.841,1.057,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,40.0,2.0,6.0
55.44,0.2318,68.31,2320,0.92,56.4,2.229,2.72,1.061,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,45.0,2.0,6.0
52.46,0.2278,68.47,2320,0.92,56.4,2.228,2.721,1.06,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,45.0,2.0,6.0
52.15,0.2274,68.37,2321,0.92,56.3,2.234,2.711,1.06,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,45.0,2.0,6.0
49.76,0.2253,63.83,2320,0.92,56.3,2.25,2.735,1.059,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,40.0,2.0,6.0
-10.04,0.2253,87.91,2093,0.83,55.0,3.295,3.82,1.056,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,40.0,1.5,6.0
-11.18,0.2234,88.05,2093,0.83,55.1,3.288,3.828,1.056,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,40.0,1.5,6.0
46.58,0.2209,63.89,2321,0.92,56.1,2.255,2.726,1.059,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,40.0,2.0,6.0
47.41,0.2206,69.03,2320,0.92,56.2,2.232,2.705,1.059,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,45.0,1.5,6.0
46.38,0.2206,64.14,2320,0.92,56.3,2.248,2.736,1.058,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,40.0,2.0,6.0
44.59,0.2166,69.19,2320,0.92,56.2,2.231,2.706,1.058,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,45.0,1.5,6.0
44.29,0.2162,69.09,2321,0.92,56.1,2.237,2.697,1.058,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,45.0,1.5,6.0
42.02,0.2142,64.66,2320,0.92,56.1,2.253,2.72,1.057,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,40.0,1.5,6.0
39.01,0.2098,64.72,2321,0.92,55.9,2.258,2.711,1.057,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,40.0,1.5,6.0
38.82,0.2094,64.96,2320,0.92,56.1,2.251,2.721,1.056,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,40.0,1.5,6.0
